Pays,Nom,Ville / region,Type_fichier,Genres/Categorie,Contact,Telephone,Source URL,Styles_Nyllo,Segment_booking,Niveau_ciblage,Raison_ciblage,Action_recommandee,Statut,Notes
Pays-Bas,Zoku Amsterdam Rooftop,Amsterdam,after-party / bar / club / salle,Rooftop events / Amapiano Afro House,meetamsterdam@livezoku.com / helloamsterdam@livezoku.com,+31 6 1820 9013 / +31 20 811 2811,https://livezoku.com/contact/,afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.,verifie email,Evenement rooftop House of Jungle avec Amapiano/Afro House; contact booking a completer. | Enrichi 13/08/2026 : Pas de mail direct public fiable repere ; garder comme piste hotel/rooftop. | Passe 2 13/08/2026 : Contact Meeting & Events officiel Zoku Amsterdam.
Pays-Bas,AfroVision NL / Toffler Rotterdam,Rotterdam,after-party / bar / club / salle,Afro House event / club night,info@afrovision.nl,a completer,https://www.afrovision.nl/events/,afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.,a contacter,"Organisateur/event Afro House, Afro Deep, Afro Tech; evenements a Rotterdam/Toffler."
Pays-Bas,TOFFLER Rotterdam,Rotterdam,after-party / bar / club / salle,Underground club / electronic / Afro house events,info@toffler.nl,a completer,https://www.toffler.nl/,afro-house | house-music,after-party afro house / club house,A prioritaire,afro house/amapiano/afro; house/electro/club,Contacter avec proposition adaptee au style dominant.,verifie email,Club electronique; AfroVision y organise des soirees afro house; mail direct Toffler a completer. | Enrichi 13/08/2026 : Email general officiel club.
Pays-Bas,Grounds Rotterdam,Rotterdam,after-party / bar / club / salle,World / Afro-Caribbean / Afro House live,info@grounds.nu,+31 6 23733246,https://www.grounds.nu/en/friends/,world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.,verifie email,"Programmation liee Afro-Caribbean, Afrobeat, Afro House/Afro Tech; contact direct a completer. | Enrichi 13/08/2026 : Email officiel Grounds ; salle pertinente world/afrobeat/Brazil."
Pays-Bas,Shelter Amsterdam,Amsterdam,after-party / bar / club / salle,Underground club / house / techno,info@shelteramsterdam.nl,a completer,https://www.shelteramsterdam.nl/contact/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Club underground sous A'DAM Tower; profil house/techno et public nuit.
Pays-Bas,RADION Amsterdam,Amsterdam,after-party / bar / club / salle,Club / cultural venue / house-techno,bookings@radionamsterdam.nl,a completer,https://radion.amsterdam/collaborations,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Contact booking public pour idee de club event; aussi rent@radionamsterdam.nl pour location.
Pays-Bas,Escape Amsterdam,Amsterdam,after-party / bar / club / salle,Discotheque / club / VIP / house nights,events@escape.nl / contact@escape.nl,+31 30 231 1577,https://escape.nl/en/info/events/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Grande discotheque ouverte tard; contact events public et WhatsApp VIP +31 6 39228876.
Pays-Bas,Melkweg Amsterdam,Amsterdam,after-party / bar / club / salle,Concert venue / club nights,info@melkweg.nl,+31 20 531 8181,https://www.melkweg.nl/en/info/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Club nights jusqu'a 04h/05h; lieu reconnu pour concerts et nuits club.
Pays-Bas,Paradiso / Club Paradiso,Amsterdam,after-party / bar / club / salle,Concert venue / club nights house afro latin,info@paradiso.nl,+31 20 626 4521,https://www.paradiso.nl/en/contact,bresil | world-music | house-music,world percussions / bresil,A+ tres prioritaire,bresil/latin/tropical; world/global/afro-caribbean; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,"Club Paradiso couvre house, techno, Latin, Afro, reggae, R&B; bon profil A SELVA."
Pays-Bas,Bitterzoet Amsterdam,Amsterdam,after-party / bar / club / salle,Club / live venue / black music,info@paradiso.nl,+31 20 626 4521,https://www.paradiso.nl/en/info/hoe-kom-ik-bij-de-verschillende-locaties-van-paradiso/praktische-info-voor-jouw-bezoek-aan-bitterzoet,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Club et podium; rattachable au contact Paradiso public; bon pour black music/live culture.
Pays-Bas,BRET Amsterdam,Amsterdam,after-party / bar / club / salle,Bar / restaurant / electronic club,info@bret.bar,+31 85 060 0060,https://www.facebook.com/bret.amsterdam/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Bar-club electronique week-end; house/tech-house/techno; bon pour after-party.
Pays-Bas,Club John Doe,Amsterdam,after-party / bar / club / salle,Techno club / nightclub,support@clubjohndoe.nl,a completer,https://www.clubjohndoe.nl/contact,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,"Club techno a Rembrandtplein; contact support public, booking artistique a verifier."
Pays-Bas,Jimmy Woo Amsterdam,Amsterdam,after-party / bar / club / salle,Luxury nightclub / VIP / private rental,info@jimmywoo.com,+31 20 626 3150,https://www.jimmywoo.com/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Nightclub premium avec VIP tables et rental; bon angle evenement prive/chic.
Pays-Bas,CONTACT Amsterdam,Amsterdam,after-party / bar / club / salle,Makerspace / club events / house disco,info@contactamsterdam.nl,a completer,https://www.instagram.com/contactamsterdam/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,"RA mentionne house/disco/cosmic sounds; email public Instagram; site officiel a completer. | Enrichi 13/08/2026 : Email deja present, statut corrige."
Pays-Bas,Bar Twenty Two,Amsterdam,after-party / bar / club / salle,Bar / DJ / ADE house showcase,formulaire officiel Bar Twenty Two / Instagram @bar22amsterdam,contact via formulaire,https://www.bartwentytwo.nl/contact/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,contact public verifie,ADE 2026: Born House Records showcase; bar avec DJs/performance week-end. | Enrichi 13/08/2026 : ADE confirme piste house ; mail direct du lieu non trouve. | Passe 2 13/08/2026 : Page contact officielle sans mail visible ; piste ADE house conservee. | Passe meticuleuse 13/08/2026 : Site officiel: contact uniquement via formulaire + Instagram; pas de mail public direct.
Pays-Bas,Bar-Restaurant Van de Werf,Amsterdam,after-party / bar / club / salle,Bar / restaurant / ADE deep house,info@vandewerf.amsterdam,020 737 0051,https://vandewerf.amsterdam/contact/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,ADE 2026 deep house/house/tech-house; lieu bar-restaurant a Amsterdam-Noord. | Enrichi 13/08/2026 : Piste ADE ; mail direct non trouve dans cette passe. | Passe 2 13/08/2026 : Email et telephone officiels Van de Werf.
Pays-Bas,WestWeelde,Amsterdam,after-party / bar / club / salle,Large nightclub / house techno warehouse,info@westweelde.nl,+31 20 684 8496,https://www.westweelde.nl/contact,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,Ancien Westerunie; grandes soirees house/techno/hip-hop/eclectic; contact direct a completer. | Enrichi 13/08/2026 : Piste ADE ; mail direct non trouve dans cette passe. | Passe 2 13/08/2026 : Email et telephone officiels WestWeelde.
Pays-Bas,Maassilo Rotterdam,Rotterdam,after-party / bar / club / salle,Dance venue / club / house techno,info@maassilo.com,+31 10 476 2452,https://maassilo.com/dance/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,"Grand lieu dance/club; techno, house, hip-hop; licence nuit et formats events."
Pays-Bas,Annabel Rotterdam,Rotterdam,after-party / bar / club / salle,Poppodium / club nights / electronic,verhuur@annabel.nu / info@annabel.nu,+31 6 18211259,https://www.rotterdam.info/en/conventions/finder-venues/annabel,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,"Grand poppodium de Rotterdam; club nights vendredi/samedi jusqu'a 04h; contact direct a completer. | Enrichi 13/08/2026 : Site officiel confirme programmation club/concerts, mail public direct non repere. | Passe meticuleuse 13/08/2026 : Rotterdam Partners publie verhuur@annabel.nu; site Annabel expose info@annabel.nu."
Pays-Bas,CLUB PAARD / PAARD,Den Haag,after-party / bar / club / salle,Club nights / dance / afro / hip-hop,info@paard.nl,+31 70 750 3434,https://www.paard.nl/en/about-paard/,world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,"Club PAARD vise la nuit; programmes Mama Africa, dancehall, afro, hip-hop, club invites."
Pays-Bas,PIP Den Haag,Den Haag,after-party / bar / club / salle,Underground nightclub / art / culture,alles@pipdenhaag.nl,a completer,https://pipdenhaag.nl/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,Scene underground de La Haye; club nights; mail direct non trouve. | Enrichi 13/08/2026 : Email officiel public PIP Den Haag.
Pays-Bas,TivoliVredenburg,Utrecht,after-party / bar / club / salle,Music complex / club nights / electronic,info@tivolivredenburg.nl,+31 30 231 4544,https://www.discover-utrecht.com/location/tivolivredenburg/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,"Grand complexe musical; plusieurs salles, club nights et electronic events."
Pays-Bas,De Helling,Utrecht,after-party / bar / club / salle,Music venue / nightclub / bass-electronic,info@dehelling.nl,+31 30 221 9944,https://dehelling.nl/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,"Venue/club Utrecht; focus bass, hip-hop et musiques transversales; compatible after-party."
Pays-Bas,EKKO Utrecht,Utrecht,after-party / bar / club / salle,Intimate club / live venue / electronic,info@ekko.nl,+31 30 231 7457,https://ekko.nl/over-ekko/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Club EKKO et programmation DJs/electronic; format intime utile pour showcase.
Pays-Bas,Effenaar Eindhoven,Eindhoven,after-party / bar / club / salle,Concert venue / club nights / electronic,events@effenaar.nl / info@effenaar.nl,+31 40 311 8312,https://www.effenaar.nl/zakelijk,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Club nights/electronic surprises; contact events & zakelijke verhuur public.
Pays-Bas,013 Poppodium Tilburg,Tilburg,after-party / bar / club / salle,Concert venue / club nights / electronic,info@013.nl,+31 13 460 9500,https://www.013.nl/en/contact-en,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,"Grand poppodium avec night program, club nights et surprises electroniques."
Pays-Bas,Simplon Groningen,Groningen,after-party / bar / club / salle,Pop venue / club / electronic events,programma@simplon.nl / productie@simplon.nl,+31 50 318 4150,https://simplon.nl/contact/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,verifie email,Poppodium avec programme varie et club events; mail direct a completer. | Enrichi 13/08/2026 : Emails programme/production officiels.
Pays-Bas,Doornroosje Nijmegen,Nijmegen,after-party / bar / club / salle,Concert venue / club nights / dance,info@doornroosje.nl,+31 24 355 4243,https://www.doornroosje.nl/en/contact/,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Venue reconnu avec club nights/dance; bon relais hors Amsterdam/Rotterdam.
Pays-Bas,Roda da Holanda,Pays-Bas / Amsterdam,bresil / roda de samba / collectif,Samba / Bresil / percussions / world,vincent@presentmusicagency.com,,https://rodadaholanda.com/contact/,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,samba bresil percussions world,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,Collectif samba neerlandais; prestations evenementielles.
Pays-Bas,Baque Flamingo,Amsterdam,percussions / batucada / collectif,Batucada de samba / percussions bresiliennes,baqueflamingo@gmail.com,,https://www.instagram.com/baqueflamingo/,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,batucada samba percussions bresil,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,Groupe de percussions fonde a Amsterdam; email public Instagram.
Pays-Bas,SambaRoots Amsterdam,Amsterdam,bresil / live samba / event concept,Roda de samba / Bresil / African roots,fala@samba-roots.com,a completer,https://samba-roots.com/,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,roda de samba bresil african roots,Contacter en premier avec angle A SELVA afro house + world/percussions.,verifie email,Projet live samba; events dans des lieux comme Skate Cafe/Paradiso selon agenda. | Enrichi 13/08/2026 : Email officiel SambaRoots.
Pays-Bas,Bambas Roda de Samba,Amsterdam / Pays-Bas,bresil / live samba band,Live Brazilian music / samba band,info@bambasrodadesamba.com,WhatsApp via formulaire,https://www.bambasrodadesamba.com/,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,live brazilian samba netherlands,Contacter en premier avec angle A SELVA afro house + world/percussions.,verifie email,Groupe base pres d Amsterdam; joue partout aux Pays-Bas; formulaire booking. | Enrichi 13/08/2026 : Email officiel Bambas Roda de Samba.
Pays-Bas,Wagner Vasconcelos,Amsterdam,percussions / artiste / workshops,Brazilian drummer / percussion workshops / bossa nova / Brazilian jam,wagnervasconcelos1@gmail.com,+31 6 87858875,https://www.wagnervasconcelos.com/cv,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,brazilian drummer percussion workshops bossa nova,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,Artiste/atelier percussion bresilienne a Amsterdam; WhatsApp public.
Pays-Bas,TROMP Percussion Eindhoven,Eindhoven,festival / competition / percussions,Percussion festival / competition,info@tromppercussion.com,+31 40 265 5666,https://www.tromppercussion.nl/privacy-policy,percussions,percussions / bresil,B compatible,percussion festival,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Festival/competition percussion; moins club mais utile reseau percussion.
Pays-Bas,BIMHUIS / Roda de Samba,Amsterdam,venue / jazz-world / bresil,Roda de samba / Brazilian Samba Machine / world jazz,booking@bimhuis.nl / verhuur@bimhuis.nl,+31 20 788 2150,https://www.bimhuis.nl/en/calendar/roda-de-samba,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,roda de samba afterparty cafe bresil,Contacter en premier avec angle A SELVA afro house + world/percussions.,verifie email,Roda de Samba avec afterparty au cafe; contact direct a completer. | Enrichi 13/08/2026 : Emails booking/location publics BIMHUIS.
Pays-Bas,Amare Den Haag,Den Haag,salle culturelle / events / bresil,Brazil Samba Express / capoeira / music and dance,events@amare.nl / communicatie@amare.nl,+31 70 880 0300,https://www.amare.nl/en/agenda/brazil-samba-express-and-batuque-capoeira-dt33,percussions | bresil | world-music,world percussions / bresil,A+ tres prioritaire,brazil samba capoeira music dance,Contacter en premier avec angle A SELVA afro house + world/percussions.,a contacter,Centre musique/danse; contact Business & Events public.
Pays-Bas,Splendor Amsterdam,Amsterdam,salle / bar / world-jazz,Choro / Brazilian music / intimate venue,info@splendoramsterdam.com,,https://splendoramsterdam.com/en/agenda/765490/o-choro-club-do-rio-amstel,bresil | world-music,world percussions / bresil,A prioritaire,choro brazilian music venue bar,Contacter avec proposition adaptee au style dominant.,a contacter,Salle/bar intimiste avec programmation choro bresilien.
Pays-Bas,A Hora do Brasil Foundation / Brazilian Summer Sessions,Amsterdam,organisation / festival bresil,Brazilian cultural activities / Brazilian music festival,ancienne fondation inactive - contacter BIMHUIS booking@bimhuis.nl pour piste Brazilian Summer Sessions,+31 20 788 2150,https://dutchculture.nl/en/location/hora-do-brasil-foundation,bresil | world-music,world percussions / bresil,A prioritaire,brazilian cultural activities music festival,Contacter avec proposition adaptee au style dominant.,hors cible / archive,Organisation specialisee culture bresilienne aux Pays-Bas; contact direct a completer. | Enrichi 13/08/2026 : Piste pertinente Bresil ; mail direct non repere. | Passe meticuleuse 13/08/2026 : DutchCulture indique que la fondation a cesse ses activites le 31/10/2012; piste a remplacer par BIMHUIS/Roda de Samba.
Pays-Bas,World Music Sales,Apeldoorn,world music / booking / sales,World music sales / network,worldmusicsales@gmail.com,+31 6 33023955,https://www.worldmusicsales.com/contact,world-music,world music / global sounds,B compatible,world music network,Contacter si capacite/date pertinente; personnaliser le message.,a contacter,Contact world music commercial; utile pour reseau/prospection.
Pays-Bas,Holland Festival,Amsterdam,festival,International performing arts / world / contemporary / world-music,info@hollandfestival.nl,,https://www.hollandfestival.nl/en/contact,world-music,festival world music / global sounds,B compatible,world/global/afro-caribbean,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival international; collaboration pro via info@hollandfestival.nl
Pays-Bas,World Music Contest Kerkrade,Kerkrade,festival,World / percussion / marching / wind bands / world-music,info@wmc.nl,,https://www.wmc.nl/en,percussions | world-music,festival world percussions / bresil,A prioritaire,percussions/rythmes; world/global/afro-caribbean,Contacter avec proposition Nyllo adaptee au style dominant.,verifie email,WMC 2026; fort axe percussion et world ensemble
Pays-Bas,TROMP Percussion Eindhoven,Eindhoven,festival,Percussion / contemporary / competition / percussions,info@tromppercussion.com,,https://www.tromppercussion.nl/privacy-policy,percussions,festival percussions / bresil,B compatible,percussions/rythmes,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival/competition percussion; reseau percussion professionnel
Pays-Bas,Loveland Festival,Amsterdam,festival,House / techno / electronic / electro-house,info@loveland.nl,,https://loveland.nl/contact/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival house/techno majeur; contact general public
Pays-Bas,Music On Festival Amsterdam,Amsterdam,festival,House / techno / electronic / electro-house,info@musiconfestival.com,,https://www.musiconfestival.nl/faq/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival house/techno; email FAQ officiel
Pays-Bas,Amsterdam Open Air,Amsterdam,festival,Electronic / house / hip-hop / urban / arts / electro-house,info@amsterdamopenair.nl,,https://www.amsterdamopenair.nl/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,Festival multi-scenes; email public Facebook
Pays-Bas,STRAF_WERK Festival,Amsterdam,festival,Deep house / house music / electro-house,info@strafwerk.org,,https://www.strafwerk.org/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,verifie email,House/deep house; a verifier car activite recente limitee selon sources sociales
Pays-Bas,Mystic Garden Festival,Amsterdam / Haarlemmermeer,festival,Tech-house / techno / house / deep-house / electro-house,toegankelijkheid@mysticgardenfestival.nl,+31 6 13417066,https://www.mysticgardenfestival.nl/mystic-garden-festival-ade-2026/faq/,house-music,festival house music / electronique,B compatible,house/electro/club,Garder dans la liste utile; contacter si la programmation ouvre un creneau.,email secondaire,"Festival house/tech-house; telephone public Facebook, mail general non trouve | Passe 2 13/08/2026 : Email public officiel trouve mais pas booking ; telephone public social."
Pays-Bas,Dias Latinos,Amersfoort,festival,Latin / Caribbean / live music / DJs / latin-world,info@diaslatinos.nl / pers@diaslatinos.nl,a completer,https://www.diaslatinos.nl/,bresil | world-music | house-music,festival world percussions / bresil,A+ tres prioritaire,bresil/latin/caribbean; world/global/afro-caribbean; house/electro/club,Contacter en premier avec angle A SELVA: afro/world/percussions ou Bresil + dancefloor.,verifie email,Grand festival latin et caribeen; bon axe Bresil/world | Enrichi 13/08/2026 : Emails officiels festival.
