Pays,Date_evenement,Evenement,Categorie,Lieu,Ville,Organisateur,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
France,17-19 juillet 2026,2K Touquet Festival,Danse afro-latine,Le Touquet-Paris-Plage,Le Touquet,Touquet Afro Latin Event,touquetafrolatineevent@gmail.com,https://www.2kfestival.com/,https://www.2kfestival.com/,Très forte,A,à contacter,"Salsa, bachata, kizomba, festival à taille humaine"
France,16 octobre 2026,Villes des Musiques du Monde,World / afro-latin / raï / afropop,Multi-lieux Seine-Saint-Denis,Île-de-France,Association Villes des Musiques du Monde,contact via formulaire / 01 48 36 34 02,https://www.villesdesmusiquesdumonde.com/,https://www.villesdesmusiquesdumonde.com/contact/,Très forte,A,à contacter,Formulaire officiel + téléphone association ; pas d’email public direct.
France,2026,Musiques et Gastronomie du Monde,World music,Front de mer,Saint-Palais-sur-Mer,Mairie de Saint-Palais-sur-Mer,animation@stpalaissurmer.fr,https://www.festivalmusiquesetgastronomiedumonde.fr/,https://www.festivalmusiquesetgastronomiedumonde.fr/,Forte,A,à contacter,Email officiel du festival/Ville de Saint-Palais-sur-Mer.
France,31 juillet-? août 2026,Worldwide Festival,Electronic / global / club,Plusieurs lieux,Sète,Worldwide Festival / Snapshot SARL,formulaire site,https://www.worldwidefestival.com/,https://www.worldwidefestival.com/,Bonne,B,à vérifier,"Festival électronique / global, contact artiste via formulaire"
France,2025-2026,Le Chinois,Club / global beats / cumbia,Le Chinois,Montreuil,Le Chinois,lechinoisdemontreuil@gmail.com,https://www.lechinoisdemontreuil.com/,https://le-chinois.tumblr.com/,Bonne,B,à contacter,Contact programmation trouvé ; Facebook indique aussi bonjour.lechinois93@gmail.com.
France,2026,Studio de l Ermitage,Salle world / jazz / musiques actuelles,Studio de l Ermitage,Paris,Studio de l Ermitage,studioermitage@gmail.com,https://www.studio-ermitage.com/,https://www.studio-ermitage.com/,Très forte,A,à contacter,Nyllo y a déjà joué avec Sages comme des Sauvages | Enrichi auto 13/08/2026 : Contact_public=studioermitage@gmail.com ; source https://www.studio-ermitage.com/
France,2026,Les Suds à Arles,World music / stages,Arles,Arles,Association Les Suds,contact@suds-arles.com,https://www.suds-arles.com/,https://www.suds-arles.com/,Très forte,A,à contacter,Cible prioritaire world / stages percussion | Enrichi auto 13/08/2026 : Contact_public=contact@suds-arles.com ; source https://www.suds-arles.com/
France,2026,Banana Festival,Tropical / reggae / électro,Labenne,Labenne,Banana Festival,contact@banana-festival.fr,https://banana-festival.fr/,https://banana-festival.fr/,Forte,A,à contacter,Angle tropical bass / live percussif | Enrichi auto 13/08/2026 : Contact_public=contact@banana-festival.fr ; source https://banana-festival.fr/
Luxembourg,12-14 juin 2026,Fête de la musique Luxembourg,Live / world / hip-hop / jazz,Espace public,Luxembourg-ville,Service Événements fêtes et marchés Ville de Luxembourg,efm@vdl.lu,https://www.vdl.lu/,https://www.vdl.lu/fr/actualites/fete-de-la-musique,Forte,A,à contacter,"Petits concerts gratuits, amateurs et professionnels"
Luxembourg,15-16 août 2026,BELONG World-Music Festival,World music / latino / interculturel,Bâtiment 4,Esch-sur-Alzette,BELONG / IWHO asbl,via Esch Explore,à vérifier,https://explore.esch.lu/fr/agenda/event/belong-world-music-festival/,Très forte,A,à vérifier,Organisé avec FSL asbl et partenaires publics
Luxembourg,22-23 mai 2026,LOA Esch Season Opening,EDM / house / tech house / techno,Place de l Académie Belval,Esch-sur-Alzette,LOA Festival,à vérifier,https://loa.lu/,https://www.visitluxembourg.com/lu/event/loa-esch-2026-season-opening,Bonne,B,à vérifier,"Grand open air électronique, scène support possible"
Luxembourg,07-09 août 2026,e-Lake Festival,Pop / rock / house / trance / techno,Lac d Echternach,Echternach,e-Lake Festival,à vérifier,https://www.e-lake.lu/,https://www.e-lake.lu/index.php/fr/,Bonne,B,à vérifier,"Festival gratuit, scène electronica"
Luxembourg,11 juillet 2026,Euforia,Festival cultures lusophones,Neimënster,Luxembourg-ville,Neimënster + Contacto + Radio Latina,jean.dupont@gmail.com,https://www.neimenster.lu/,https://www.adada.lu/2026/06/neimenster-contacto-et-radio-latina-lancent-euforia-un-nouveau-festival-dedie-aux-cultures-lusophones/,Très forte,A,à contacter,"Portugal, Cap-Vert, Brésil, Samba de Lux programmé | Enrichi auto 13/08/2026 : Contact_public=jean.dupont@gmail.com ; source https://www.neimenster.lu/"
Luxembourg,24 juillet-08 août 2026,Summer Music Festival,Concerts jeunes artistes,Château de Clervaux,Clervaux,Commune de Clervaux + Cube521,secretariat@clervaux.lu,https://www.clervaux.lu/,https://www.clervaux.lu/fr/visiter/culture-et-arts/summer-music-festival,Bonne,B,à contacter,Electro pop le 25 juillet 2026 | Enrichi auto 13/08/2026 : Contact_public=secretariat@clervaux.lu ; source https://www.clervaux.lu/
Luxembourg,13-15 mars 2026,Catch Music Festival,Musique de chambre / local,Centre Culturel Bonnevoie,Luxembourg,Cathy Krier + Laurence Koch,formulaire site,https://www.catchmusic.lu/,https://www.catchmusic.lu/,Faible,C,à vérifier,Moins adapté mais réseau culturel local
Luxembourg,2026,Festival de Wiltz,Festival international,Amphithéâtre du Château,Wiltz,Coopérations / Festival de Wiltz,+352 95 92 05 1,https://www.festivaldewiltz.lu/,https://www.visitluxembourg.com/event/festival-de-wiltz,Bonne,B,à contacter,"Festival historique, programmation internationale"
Pays-Bas,28 juin 2026,Amsterdam Roots Festival,World music / bazaar / cultures,Oosterpark / Linnaeusstraat 2,Amsterdam,Stichting Amsterdam Roots,program@amsterdamroots.nl,https://www.amsterdamroots.nl/,https://zoek.officielebekendmakingen.nl/gmb-2026-108111.html,Très forte,A,à contacter,Demande permis officielle 2026 ; contact programme disponible
Pays-Bas,21 juin 2025,Holland Festival x Africadelic,Kuduro / Afrotech,Parallel,Amsterdam,Holland Festival + Africadelic,professionals email via site,https://hollandfestival.nl/,https://www.hollandfestival.nl/en/event/39076/summary,Très forte,A,à vérifier,Bonne cible pour Afrotech / live hybride
Pays-Bas,11 juillet-02 août 2026,Kwaku Summer Festival,Diaspora / afro-caribéen / live,Nelson Mandelapark,Amsterdam,Kwaku Summer Festival BV,info@kwakusummerfestival.nl,https://kwakufestival.nl/,https://www.amsterdam.nl/stadsdelen/zuidoost/kwaku-summer-festival-2026/,Très forte,A,à contacter,"Grand festival diaspora, culture et musique"
Pays-Bas,Juillet 2026,The Hague African Festival,African music / diaspora,Zuiderpark,La Haye,Stichting Nteasee,hello@thaf.nl,https://thaf.nl/,https://thaf.nl/,Forte,A,à contacter,"Festival africain, depuis 1986 sous diverses formes"
Pays-Bas,28 juin 2025 / 28 juin 2026,Mundial Korvel,Multiculturel / world,Korvelplein,Tilburg,Ondernemersvereniging Korvel Vooruit,contact@mundial-korvel.nl,https://mundialindewijk.nl/,https://mundialindewijk.nl/faq/,Forte,A,à contacter,"Petits événements gratuits de quartier, plusieurs quartiers en 2026"
Pays-Bas,23-24 mai 2026,Lentekabinet,Festival house / techno,Het Twiske,Oostzaan,Dekmantel,info@dekmantel.com,https://www.dekmantel.com/,https://guestzone.nl/party-organisaties/dekmantel,Bonne,B,à contacter,"Déclinaison Dekmantel, électronique pointue"
Pays-Bas,31 juillet-02 août 2026,Dekmantel Festival,House / techno / electronic,Amsterdamse Bos,Amstelveen,Dekmantel,info@dekmantel.com,https://www.dekmantel.com/,https://guestzone.nl/party-organisaties/dekmantel,Bonne,B,à contacter,"Très sélectif, angle live percussif leftfield"
Pays-Bas,12 septembre 2026,Circoloco Amsterdam,House / techno,NDSM-werf,Amsterdam,Circoloco / SONA,evenementen@ndsm.nl,https://www.ndsm.nl/,https://www.ndsm.nl/en/evenementen/circoloco,Bonne,B,à contacter,"Organisateur : Circoloco, SONA"
Pays-Bas,12 juin 2026 / 08 août 2026,Tropikali,Tropical / Latin electronic / queer festival,NDSM / Paradiso,Amsterdam,Tropikali / Didola,evenementen@ndsm.nl,https://www.tropikali.nl/,https://www.ndsm.nl/evenementen/tropikali,Très forte,A,à contacter,"Latin-spiced house, Balkan, SWANA, tropical sounds"
Pays-Bas,01-04 octobre 2026,Afrovibes Festival,Afrique / diaspora / musique / théâtre,Amsterdam Rotterdam Utrecht,Afrovibes Foundation,info@afrovibes.nl,https://www.afrovibes.nl/,https://www.afrovibes.nl/,Forte,A,à contacter,"Afrique et diaspora, multi-villes",
Pays-Bas,05-08 novembre 2026,Le Guess Who?,International / avant-garde / world scenes,Multi-lieux,Utrecht,Le Guess Who?,info@leguesswho.com,https://leguesswho.com/,https://leguesswho.com/,Très forte,A,à contacter,"Festival découverte internationale, très pertinent si dossier solide"
Pays-Bas,09-13 septembre 2026,Gaudeamus Festival,Musique aventureuse / création,Multi-lieux,Utrecht,Stichting Gaudeamus Muziekweek,proposals@gaudeamus.nl,https://gaudeamus.nl/,https://gaudeamus.nl/festival-info/,Bonne,B,à contacter,Propositions via proposals@gaudeamus.nl
Pays-Bas,2026,FOUX Festival,House / techno,à vérifier,Pays-Bas,FOUX Festival,mail@foux.nl,https://www.foux.nl/,https://www.foux.nl/,Bonne,B,à contacter,"Petit festival house-techno, bon pour live compact"
Pays-Bas,2026,Het Sieraad,Club house / techno,Postjesweg 1,Amsterdam,Het Sieraad,INFO@HET-SIERAAD.NL,https://www.het-sieraad.nl/,https://www.het-sieraad.nl/,Bonne,B,à contacter,"Lieu club hebdomadaire, pas festival"
Suisse,20-23 août 2026,Lausanne Afro Fusions Festival,Afro / diaspora / live DJs / concerts,Esplanade de Montbenon,Lausanne,CIPINA Association / LAFF,contact@lausaff.org,https://lausaff.org/,https://lausaff.org/en/,Très forte,A,à contacter,Grand festival africain open air en Suisse romande
Suisse,13-14 juin 2026,FestiMusiques,Festival musiques populaires,Grand-Rue 27,Moudon,Festi Musiques Moudon,info@festival-moudon.ch,http://www.festival-moudon.ch,https://www.myswitzerland.com/en/experiences/events/festimusiques/,Bonne,B,à contacter,"Musiques populaires et traditionnelles, environ 100 concerts gratuits"
Suisse,19-21 juin 2025,Latin Festival Thun,Latin / Afro-Latin / danse,Waisenhausplatz,Thun,Verein Latinos Unidos,georgefranco1@hotmail.com,https://www.latinosunidos.ch/,https://www.myswitzerland.com/en/experiences/events/latin-festival-thun-2025/,Très forte,A,à contacter,Festival latin non lucratif
Suisse,01 août 2026,Festilac,House / techno,Jardin au bord du Léman,Paudex,Festilac,info@festilac.ch,https://www.festilac.ch/,https://www.festilac.ch/accueil,Bonne,B,à contacter,Petit festival house-techno 300 personnes | Enrichi auto 13/08/2026 : Contact_public=info@festilac.ch ; source https://www.festilac.ch/
Suisse,25 juillet 2026,Clepsydra Cardada Festival,House / techno,Cardada,Locarno,Clepsydra Collective,team@clepsydra.info,https://clepsydra.info/,https://clepsydra.info/,Bonne,B,à contacter,"House et techno en montagne, collectif fondé en 2022"
Suisse,26-28 juin 2026,Festival des cinq Continents,World music / cultures du monde,Place du Manoir,Martigny,Festival des cinq Continents,contact via site,https://www.5continents.ch/,https://www.5continents.ch/33e-edition.html,Très forte,A,à vérifier,"Festival gratuit, traditions et créations contemporaines"
Suisse,12-15 mars 2026,Festival Arkhé,Musiques du monde / transe / traditions,Raisin,Bussigny,Festival Arkhé / Commune de Bussigny,+41 21 706 11 11,https://www.festivalarkhe.ch/,https://www.bussigny.ch/culture-loisirs/les-manifestations/agenda-manifestations/159-culture-spectacle%2C-danse%2C-art/102822-festival-arkh%C3%A9,Forte,A,à contacter,"Musiques rares, transe baloutche, traditions vivantes"
Suisse,02 mai / 04 juillet / 15 août 2026,Sunlab Festival,Afro house / melodic techno,Lac des Quatre-Cantons,Brunnen / Lucerne / Stansstad,Sunlab Festival,info@kopfklang.ch,https://sunlab-festival.ch/,https://sunlab-festival.ch/,Très forte,A,à contacter,"Afro House et Melodic Techno, très compatible | Enrichi auto 13/08/2026 : Contact_public=info@kopfklang.ch ; source https://sunlab-festival.ch/"
Suisse,19 juin 2026,Fête de la Musique Genève - Kutimuy / Orquestre Fuego Son,Latino / world,Théâtre de l Orangerie,Genève,Fête de la Musique / Théâtre de l Orangerie,email protégé,https://www.leprogramme.ch/,https://www.leprogramme.ch/concerts/kutimuy-orquestre-fuego-son-fete-de-la-musique/geneve/theatre-de-l-orangerie,Forte,B,à vérifier,Musiques du monde / musique latine
Suisse,13 septembre 2026,ADEM - Au fil des danses et musiques du monde,World / danse / latino,Le Bateau Genève,Genève,ADEM,info@adem.ch,https://adem.ch/,https://www.leprogramme.ch/concerts/au-fil-des-danses-et-musiques-du-monde-adem-2/geneve/le-bateau-geneve,Forte,A,à contacter,"Mini concerts, danses et musiques du monde | Enrichi auto 13/08/2026 : Contact_public=info@adem.ch ; source https://adem.ch/"
Suisse,2026,House of Techno,House / techno events,à vérifier,Suisse,House of Techno,booking@houseoftechno.ch,https://houseoftechno.ch/,https://houseoftechno.ch/contact/,Bonne,B,à contacter,Contact booking dédié
Belgique,2026,House of Lagos,Afro House / événement / organisateur,House of Lagos,Anvers,House of Lagos,houseoflagosofficial@gmail.com,,,Très forte,A,à contacter,Compatibilité forte avec A SELVA ; angle Samba Tech / afro-brésilien électro-percussif
