Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Normandie,Calvados,Caen,Le Cargö,bar spectacle / lieu public,SMAC / club / grande salle,contact@lecargo.fr,,https://www.lecargo.fr/,https://www.cnas.fr/node/166103,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Scène musiques actuelles, club, bar, actions culturelles",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Calvados,Caen,Café Le Régent,bar spectacle / lieu public,Bar latino / concerts live / stand-up,02 31 93 75 75,,https://cafeleregent.fr/,https://cafeleregent.fr/,bresil | world-music,percussions / Bresil / world,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Soirées latino, concerts live, jam, scène ouverte",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Sotteville-lès-Rouen,Trianon Transatlantique,bar spectacle / lieu public,Salle spectacle / café-concert,02 35 73 65 99,,https://www.trianontransatlantique.com/,https://services.mairie-sotteville-les-rouen.fr/?acadp_listings=trianon-transatlantique,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Salle en version café-concert, fosse ou gradins",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Huka x Huka - Terrasses du Jeudi,bar spectacle / lieu public,Concert public / world-electro,à vérifier,,https://www.terrassesdujeudi.fr/,https://rouen.fr/fr/terrasses-jeudi,world-music | house-music,DJ/live afro-world-house,A,à vérifier,Contacter en premier avec positionnement DJ/live afro house - world house.,"Événement public compatible, Nyllo y était avec Huka x Huka",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Le Bar’Ouf,bar spectacle / lieu public,Bar musical / DJ sets,06 86 11 90 81,,à compléter,https://www.normandie-tourisme.fr/restaurants/le-barouf/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier.,"Bar ambiance musicale, soirées à thème et DJ sets",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Le Shay’n,bar spectacle / lieu public,Bar RnB / zouk / dancehall,ceciliashayna15@gmail.com,,https://www.le-shayn.fr/,https://www.le-shayn.fr/contact,world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Bar musical RnB, zouk, dancehall, compatible afro-danse | Enrichi auto 13/08/2026 : Contact_public=ceciliashayna15@gmail.com ; source https://www.le-shayn.fr/",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Ville du Havre / Nuits Suspendues,Nuits Suspendues,bar spectacle / lieu public,Festival plein air / soul afro-funk cumbia,culture@lehavre.fr,,https://lehavre.fr/nuits-suspendues,https://lehavre.fr/nuits-suspendues,world-music,world music / live hybrid,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Festival plein air soul, afro-funk, jazz, cumbia, musiques orientales ; contact culture Le Havre.",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Ville du Havre / partenaires,Fête de la musique Le Havre,bar spectacle / lieu public,Événement public multi-genres,culture@lehavre.fr,,https://www.fdlm.app/,https://www.fdlm.app/,percussions | bresil | world-music | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Tags visibles : samba, afrobeat, batucada, tropical, house, techno, percussions ; contact culture Le Havre.",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,Le Groove,bar spectacle / lieu public,Bar concerts,02 32 79 92 05,,https://legroove.fr/,https://legroove.fr/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Bar avec infos concerts, ambiance live",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,Le Carré des Docks,bar spectacle / lieu public,Salle spectacle / concerts,info@dockslehavre.com,,https://www.dockslehavre.com/,https://www.dockslehavre.com/evenement/danakil/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Grande salle, plutôt booking structuré",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Le 106,salle culturelle / espace culturel,SMAC / salle de concerts,programmation@le106.com,02 32 10 88 60,https://le106.com/,https://le106.com/le-106/lequipe,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Directeur / programmateur indiqué sur le site ; contact fort,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Le 106 - programmateur adjoint,salle culturelle / espace culturel,Programmation / production,hedi.hassouna@le106.com,02 32 10 88 60,https://le106.com/,https://le106.com/le-106/lequipe,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Programmateur adjoint ; utile en relance ciblée,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Sotteville-lès-Rouen,Le Trianon Transatlantique,salle culturelle / espace culturel,Scène conventionnée / chanson / musiques francophones,paul.moulenes@trianontransatlantique.com,02 35 73 65 99,https://trianontransatlantique.com/,https://trianontransatlantique.com/infos-contacts/contacts-equipe,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Direction-programmation ; contact direct,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Calvados,Hérouville-Saint-Clair,Big Band Cafe,salle culturelle / espace culturel,Salle de concerts,guillaume@bigbandcafe.com,02 31 47 49 48,https://bigbandcafe.com/,https://bigbandcafe.com/contact/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact scène régionale confirmé ; téléphone salle général 02 31 47 96 13 en complément.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,Le Tetris,salle culturelle / espace culturel,SMAC / salle de concerts,courrier@letetris.fr,02 35 19 00 38,https://letetris.fr/,https://letetris.fr/mentions-legales,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,SMAC / musiques actuelles ; email éditeur public,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,Le Volcan,salle culturelle / espace culturel,Scène nationale,programmation@levolcan.com,à compléter,https://www.levolcan.com/,https://www.levolcan.com/contact-lequipe,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email programmation trouvé sur page équipe Le Volcan ; email standard public publics@levolcan.com en complément. | Contact recoupé depuis autre fichier booking le 13/08/2026.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Orne,Alençon,La Luciole,salle culturelle / espace culturel,SMAC / salle de concerts,infos@laluciole.org,02 33 32 83 33,https://www.laluciole.org/,https://www.laluciole.org/infos-pratiques/contact/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Scène musiques actuelles ; contact général fiable,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Orne,Alençon,La Luciole - studios / accompagnement,salle culturelle / espace culturel,Accompagnement / répétition,damien@laluciole.org,02 33 32 53 42,https://www.laluciole.org/,https://www.laluciole.org/accompagnement/repetition/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact accompagnement ; utile si angle artiste/résidence,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Eure,Évreux,Le Tangram / Le Kubb,salle culturelle / espace culturel,Scène nationale / musiques actuelles,production@letangram.com,02 32 29 63 32,https://www.letangram.com/,https://epcc.letangram.com/fr/equipe-contacts,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact production interne ; demander relais programmation,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Eure,Évreux,Le Tangram - studios,salle culturelle / espace culturel,Accompagnement musiques actuelles,studios@letangram.com,02 32 29 63 12,https://www.letangram.com/,https://epcc.letangram.com/fr/equipe-contacts,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact accompagnement pratiques amateurs,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Dieppe,DSN Dieppe Scene Nationale,salle culturelle / espace culturel,Scène nationale / spectacle vivant,direction@dsn.asso.fr,02 35 82 04 43,https://www.dsn.asso.fr/,https://dsn.asso.fr/saison24-25/dsn/equipe.php,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact direction visible ; demander relais programmation,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Dieppe,DSN - production / accueil compagnies,salle culturelle / espace culturel,Production / accueil artistes,accueil.compagnie@dsn.asso.fr,02 32 14 65 71,https://www.dsn.asso.fr/,https://dsn.asso.fr/saison24-25/dsn/equipe.php,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact production/accueil compagnie,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Manche,Cherbourg-en-Cotentin,Le Trident,salle culturelle / espace culturel,Scène nationale,laboite@trident-sn.com,à compléter,https://www.trident-scenenationale.com/,https://www.trident-scenenationale.com/fr/equipe-et-contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email général officiel ; demander relais programmation | Contact recoupé depuis autre fichier booking le 13/08/2026.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Manche,Cherbourg-en-Cotentin,Le Trident - billetterie,salle culturelle / espace culturel,Scène nationale / accueil,billetterie@sn-trident.com,à compléter,https://www.trident-scenenationale.com/,https://www.trident-scenenationale.com/fr/equipe-et-contact,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact billetterie officiel ; utiliser seulement si besoin de relais | Contact recoupé depuis autre fichier booking le 13/08/2026.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,Direction de la Culture,commune / programmation culture,Programmation / culture / vie associative,culture@rouen.fr,02 32 08 13 90,https://rouen.fr/,https://rouen.fr/fr/la-culture-rouen,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Source officielle ; contact fort pour programmation municipale,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Calvados,Caen,Direction de la Culture,commune / programmation culture,Programmation / événements culturels,contact@caen.fr,02 14 37 26 02,https://caen.fr/culture,https://caen.fr/culture,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact général mairie à utiliser pour transfert Direction Culture ; téléphone direct culture 02 14 37 26 02 conservé.,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Calvados,Caen,DRAC Normandie,commune / programmation culture,Institution / soutien / réseau culturel,drac.normandie@culture.gouv.fr,02 31 38 39 40,https://www.culture.gouv.fr/regions/drac-normandie,https://www.culture.gouv.fr/regions/drac-normandie,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Pas une commune, mais relais institutionnel utile pour réseau Normandie",Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,Théâtre de l'Hôtel de Ville / Culture,commune / programmation culture,Programmation / théâtre / musique,culture@lehavre.fr,02 35 19 45 74,https://lehavre.fr/thv-theatre-de-lhotel-de-ville,https://www.campus-lehavre-normandie.fr/fr/sorties-culturelles-et-loisirs,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email culture public recensé ; à compléter sur site officiel si réponse faible | Contact email exploitable ; champs secondaires à compléter si besoin.,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Le Havre,THV - régie théâtres,commune / programmation culture,Technique / relais spectacle,leonard.coeffic@lehavre.fr,02 35 19 45 84,https://lehavre.fr/thv-theatre-de-lhotel-de-ville/contact,https://lehavre.fr/thv-theatre-de-lhotel-de-ville/contact,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact technique officiel ; utiliser seulement si besoin de relais interne,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Manche,Cherbourg-en-Cotentin,Service culture / associations,commune / programmation culture,Programmation / culture,anne-sophie.grimard@cherbourg.fr,02 33 08 27 95,https://www.cherbourg.fr/culture-et-loisirs/,https://www.cherbourg.fr/ma-ville/associations/espace-associations/prendre-contact-avec-votre-referent/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Référente culture officielle ; très utile pour entrée commune,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Eure,Évreux,Conservatoire à Rayonnement Départemental,commune / programmation culture,Musique / programmation culturelle,crd@epn-agglo.fr,02 32 38 64 62,https://culture.evreux.fr/,https://culture.evreux.fr/lieux/conservatoire-a-rayonnement-departemental/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,Contact musique officiel ; demander relais programmation ville si nécessaire,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Dieppe,Dieppe Scène Nationale,commune / programmation culture,Scène nationale / diffusion / spectacle vivant,cinema@dsn.asso.fr,02 35 82 04 43,https://www.dsn.asso.fr/,https://www.art-et-essai.org/dsn-dieppe-scene-nationale,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier.,"Email cinéma/accueil ; pas service culture communal direct, demander relais programmation",Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Normandie,Seine-Maritime,Rouen,SO Rouen,club / discotheque / nightlife,"discotheque, club, DJ, house/urban nights",contact@so-rouen.com,02 35 23 71 19,https://so-rouen.com/,https://so-rouen.com/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Club prioritaire Rouen.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Rouen,La Suite Club Rouen,club / showcase / discotheque,"showcase, club, afro/urban possible",contact via reservation,06 09 57 41 18,https://www.placeminute.com/event/artiste-live/preventes-showcase-jungeli-suite-club-rouen%2C42733.html,https://www.placeminute.com/event/artiste-live/preventes-showcase-jungeli-suite-club-rouen%2C42733.html,world-music | house-music,DJ/live afro-world-house,B,telephone verifie,Contacter selon calendrier.,Telephone reservation public; email a completer.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Rouen,Le Kube Club,club / electronic venue,"club, electronic, DJ",contact via Facebook,02 35 73 71 84 / +33 6 43 02 95 21,https://ra.co/clubs/95785,https://www.facebook.com/p/Le-Kube-Klub-100054639901152/,house-music,DJ set / house music / club,B,telephone verifie,Completer le contact puis relancer.,RA confirme lieu; contact direct a completer.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Rouen,XXL Night Club Rouen,club / discotheque,"nightclub, DJ, dance",xxl-rouen@hotmail.com,+33 2 35 88 84 00,https://mindtrip.ai/attraction/rouen-seine-maritime/xxl-night-club-rouen/at-b0vpnqbu,https://www.facebook.com/XXLClubDiscotheque/,house-music,DJ set / house music / club,B,verifie email,Completer le contact puis relancer.,Contact officiel a completer.,ajout cible house/DJ officiel
France,Normandie,Calvados,Caen,No One Like Us,promoteur / association techno,association techno underground Caen,contact via Facebook,,https://www.facebook.com/Nonelikus/,https://www.facebook.com/Nonelikus/,house-music,DJ set / house music / club,B,contact via site,Completer le contact puis relancer.,Promoteur techno local utile pour réseau DJ. | Enrichissement fin: Pas de mail public confirme; passer par Facebook/HelloAsso.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Le Havre,LH Connections,promoteur / collectif / events,"events, house/techno, booking local",contact@lhconnections.com,,https://www.instagram.com/p/CmwKCIRI9Go/,https://www.instagram.com/p/CmwKCIRI9Go/,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier.,Collectif/event local; email public Instagram.,ajout cible house/DJ officiel
France,Normandie,Manche,Muneville-sur-Mer / Caen,Zouavfest,festival techno / bass house,"Bass House, Techno, Acid Techno",stands.zouavfest@gmail.com / assocs.zouavfest@gmail.com,,https://www.zouavfest.fr/,https://www.zouavfest.fr/,house-music,DJ set / house music / club,A,email secondaire,Contacter en premier avec positionnement DJ/live afro house - world house.,Signal fort house/techno Caen; organisateur a identifier.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Rouen,Fury Defendu,bar / events techno,"Hard Techno, Techno, Raw, house events",contact via Shotgun,,https://shotgun.live/en/cities/rouen/house,https://shotgun.live/en/cities/rouen/house,house-music,DJ set / house music / club,B,contact via site,Completer le contact puis relancer.,Lieu/organisateur vu sur Shotgun House Rouen. | Enrichissement fin: Pas de mail public confirme; passer par Shotgun/lieu.,ajout cible house/DJ officiel
France,Normandie,Seine-Maritime,Rouen,Novotel Suites Rouen Normandie,hotel / event / proche Le 106,"hotel near music hall, events possible",h6342@accor.com,,https://all.accor.com/hotel/6342/index.en.shtml,https://all.accor.com/hotel/6342/index.en.shtml,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier.,Hotel utile pour after/pro events pres Le 106.,ajout cible house/DJ officiel
France,Normandie,a verifier,Douai,Festival Plein Air,festival electro / house,"electronic, techno, trance, house, outdoor nocturnal",contact@festivalpleinair.fr,+33 3 27 88 26 79,https://www.festivalpleinair.fr/,https://www.facebook.com/pleinair.fest/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,"Attention hors Normandie: Douai Hauts-de-France, garder en note si duplicat.",ajout cible house/DJ officiel
