Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Hauts-de-France,Nord,Dunkerque,Hotel Borel Lounge Bar,after-party / bar / club / hotel,Hotel lounge bar,borel@hotelborel.fr,+33 3 28 66 51 80,https://www.hotel-borel-dunkerque.com/lounge-bar-hotel-dunkerque,https://www.hotel-borel-dunkerque.com/lounge-bar-hotel-dunkerque,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Hotel lounge bar ; vérifier possibilité DJ/live,After party France - Hauts-de-France Normandie - A SELVA Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Caf&diskaire,bar spectacle / lieu public,Café-concert / disquaire,03 61 50 77 54,,https://www.cafediskaire.fr/,https://leslabelsindependants.fr/repertoire/le-cafdiskaire/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Téléphone confirmé ; pas d’email direct fiable trouvé.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,La Bulle Café,bar spectacle / lieu public,Café-concert / DJ sets / soirées,mfmoulins@mairie-lille.fr,,https://maisonsfolie.lille.fr/la-bulle-cafe,https://maisonsfolie.lille.fr/informations-pratiques,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,Email Maison Folie Moulins et téléphone 03 20 95 08 82 confirmés ; demander relais La Bulle Café.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Musical,bar spectacle / lieu public,Bar concerts / jams / DJ sets,lemusical@gmail.com,,https://www.lemusical.fr/,https://www.lemusical.fr/,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,"Bar de quartier avec événements réguliers, concerts et DJ",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Café Peacock,bar spectacle / lieu public,Bar / concerts / DJ sets,lille@cafe-peacock.fr,,https://cafe-peacock.fr/,https://cafe-peacock.fr/en/nos-evenements/,world-music | house-music,DJ/live afro-world-house,B,à contacter,Contacter selon calendrier et disponibilite.,"Concerts jazz, rock, DJ set et événements privés",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Café Citoyen,bar spectacle / lieu public,Bar culturel / musique du monde,contact@cafecitoyen.org,,https://www.cafecitoyen.org,https://www.apes-hdf.org/notre-r%C3%A9seau/les-adherents/cafecitoyenorg/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Email et téléphone 03 20 13 15 73 confirmés.,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Les Sarrazins,bar spectacle / lieu public,Café coopératif / événements culturels,contact@les-sarrazins.org,,https://les-sarrazins.org/,https://les-sarrazins.org/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,"Événements culturels, associatifs et musicaux",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Bus Magique,bar spectacle / lieu public,Café associatif / concerts,lebusmagique.lille@gmail.com,,https://lebusmagiquelille.fr,https://www.slowlille.fr/project/le-bus-magique/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,"Tiers-lieu sur l’eau, concerts et programmation culturelle",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Skuuurt Afro Sound,bar spectacle / lieu public,Soirée afro / amapiano / dancehall / baile,via billetterie Shotgun,,https://flow.lille.fr/,https://agenda.lavoixdunord.fr/fr/evenements/625836_skuuurt-afro-sound.html,world-music | afro-house | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Événement afro, shatta, bouyon, amapiano, dancehall, baile | Contact recoupé depuis autre fichier booking le 13/08/2026.",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Flow,bar spectacle / lieu public,Centre cultures urbaines / concerts,flow@mairie-lille.fr,,https://flow.lille.fr/,https://agenda.lavoixdunord.fr/fr/evenements/625836_skuuurt-afro-sound.html,world-music,world music / live hybrid,B,à contacter,Contacter selon calendrier et disponibilite.,"Lieu public utile pour afro, hip-hop, danse, cultures urbaines | Contact recoupé depuis autre fichier booking le 13/08/2026.",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,La Lune des Pirates,bar spectacle / lieu public,SMAC / concerts debout,contact@lalune.net,,https://www.lalune.net/,https://www.lalune.net/infos/contact/nous-contacter,house-music,DJ set / house music / club,B,à contacter,Contacter selon calendrier et disponibilite.,"Salle de musiques actuelles, concerts debout, club et grande salle",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Air Beer’n’Bear,bar spectacle / lieu public,Bar concerts / klub,airbeernbearklubhouse@gmail.com,,https://www.airbeernbear.fr/,https://www.airbeernbear.fr/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,"Bar concerts et événements, contact public affiché",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Voyage au cœur de l’été,bar spectacle / lieu public,Festival musiques du monde,associationpremice@gmail.com,,https://www.voyageaucoeurdelete.com/,https://www.voyageaucoeurdelete.com/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Festival de musiques du monde sur 4 semaines à Amiens,Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,a verifier,Hauts-de-France,Collectif La Cantina,bar spectacle / lieu public,Collectif latino / spectacles publics,collectiflacantina@gmail.com,,https://www.collectiflacantina.com/,https://www.collectiflacantina.com/qui-sommes-nous,bresil | world-music,percussions / Bresil / world,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Réseau latino régional, festivals, bals populaires et événements communautaires",Bars spectacles publics - Hauts-de-France Grand Est Normandie Ile-de-France - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,L'Aeronef,salle culturelle / espace culturel,SMAC / salle de concerts,contact@aeronef.fr,03 20 13 50 00,https://aeronef.fr/,https://billetterie.aeronef.fr/sites/billetterie.aeronef.fr/files/la_billetterie/cgv/CGV%20Billetterie%20L%27A%C3%A9ronef_mars2025.pdf,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email général public ; l'équipe indique aussi un bouton/message vers le directeur artistique,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,L'Aeronef - accompagnement artistes,salle culturelle / espace culturel,Accompagnement / appels artistes,kickoff@aeronef.fr,03 20 13 50 00,https://aeronef.fr/,https://aeronef.fr/actualites/kickoff-25,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Adresse pour dispositif artistes ; pas forcément programmation concert,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Flow,salle culturelle / espace culturel,Centre cultures urbaines / concerts,flow@mairie-lille.fr,+33 3 62 14 59 52,https://flow.lille.fr/,https://flow.lille.fr/nous-contacter,world-music,world music / live hybrid,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Très bon contact afro/urbain/danse ; déjà présent dans fichier services,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,La Bulle Cafe / Maisons Folie,salle culturelle / espace culturel,Salle / cafe-concert / DJ sets,mfmoulins@mairie-lille.fr,03 20 95 08 82,https://maisonsfolie.lille.fr/la-bulle-cafe,https://maisonsfolie.lille.fr/la-bulle-cafe,house-music,DJ set / house music / club,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email Maison Folie Moulins confirmé ; téléphone 03 20 95 08 82 ; demander relais La Bulle Café / programmation soirées.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Tourcoing,Le Grand Mix,salle culturelle / espace culturel,SMAC / salle de concerts,elise@legrandmix.com,03 20 70 10 00,https://legrandmix.com/,https://legrandmix.com/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact direction trouvé sur page soutien Le Grand Mix ; téléphone général 03 20 70 10 00 conservé. Demander relais programmation.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Roubaix,La Condition Publique,salle culturelle / espace culturel,Tiers-lieu culturel / concerts / expositions,info@laconditionpublique.com,03 28 33 57 57,https://laconditionpublique.com/,https://www.roubaixtourisme.com/avoir/la-condition-publique-2/,world-music | afro-house | house-music,DJ/live afro-world-house,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,"Lieu culturel très compatible formats live, club, terrasse, afro-house",Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Tourcoing,Le Fresnoy,salle culturelle / espace culturel,Studio national / arts contemporains / événements,accueil@lefresnoy.net,+33 3 20 28 38 00,https://www.lefresnoy.net/,https://www.lefresnoy.net/en/ecole/etudiant/696,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact accueil général ; demander relais événements artistiques,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Tourcoing,Le Fresnoy - événements artistiques,salle culturelle / espace culturel,Responsable événements artistiques,ppronnier@lefresnoy.net,03 20 28 38 08,https://www.lefresnoy.net/,https://www.lefresnoy.net/en/institution-en/teams/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact nominatif événements artistiques ; à utiliser pour proposition ciblée,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,La Lune des Pirates,salle culturelle / espace culturel,SMAC / salle de concerts,contact@lalune.net,03 22 97 88 01,https://www.lalune.net/,https://www.lalune.net/infos/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email et téléphone confirmés par page contact officielle.,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Maison de la Culture d'Amiens,salle culturelle / espace culturel,Scène nationale / programmation,accueil@mca-amiens.com,03 22 97 79 79,https://www.maisondelaculture-amiens.com/,https://www.maisondelaculture-amiens.com/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Scène nationale ; demander relais programmation musique/danse,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,a verifier,Oignies,9-9bis / Le Metaphone,salle culturelle / espace culturel,Site culturel / musique actuelle,programmation@9-9bis.com,+33 3 21 08 08 00,https://9-9bis.com/,https://9-9bis.com/equipe/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Adresse dédiée pour jouer chez eux ; très bon contact,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,a verifier,Oignies,9-9bis - information generale,salle culturelle / espace culturel,Site culturel / musique actuelle,info@9-9bis.com,+33 3 21 08 08 00,https://9-9bis.com/,https://9-9bis.com/infos-pratiques/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact général en complément,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Dunkerque,Le Bateau Feu,salle culturelle / espace culturel,Scène nationale / théâtre / musique,contact via formulaire / téléphone,03 28 51 40 40,https://www.lebateaufeu.com/,https://www.lebateaufeu.com/17-nous_contacter/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,"Pas d’email clair trouvé ; téléphone billetterie/administration confirmé 03 28 51 40 40, formulaire officiel disponible.",Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Pas-de-Calais,Arras,Le Pharos,salle culturelle / espace culturel,Salle / espace culturel,pharos@ville-arras.fr,03 21 16 89 00,https://www.pharos-arras.fr/,https://www.pharos-arras.fr/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Salle culturelle de la Ville d'Arras ; utile pour concerts et événements,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,a verifier,Saint-Omer,La Barcarolle,salle culturelle / espace culturel,EPCC spectacle vivant / salles culturelles,contact@labarcarolle.org,03 21 88 94 80,https://www.labarcarolle.org/,https://www.labarcarolle.org/tarifs-et-informations-pratiques/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,EPCC avec plusieurs salles ; bon relais spectacle vivant,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,a verifier,Creil,La Faiencerie,salle culturelle / espace culturel,Théâtre / complexe culturel,accueil@faiencerie-theatre.com,03 44 24 01 01,https://faiencerie-theatre.com/,https://faiencerie-theatre.com/opera-au-cinema,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Complexe culturel avec théâtre et salle polyvalente La Manufacture,Salles espaces culturels France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Lille,Le Flow - Centre Eurorégional des Cultures Urbaines,commune / programmation culture,Programmation / cultures urbaines,flow@mairie-lille.fr,+33 3 62 14 59 52,https://flow.lille.fr/,https://flow.lille.fr/nous-contacter,world-music,world music / live hybrid,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Source officielle ; la page indique d'envoyer un email à cette adresse pour proposer une programmation,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Roubaix,Direction de la Culture,commune / programmation culture,Programmation / culture / patrimoine,culture@ville-roubaix.fr,03 59 57 32 02,https://www.ville-roubaix.fr/,https://www.ville-roubaix.fr/services-infos-pratiques/culture-et-patrimoine/appel-a-projet-culture-et-patrimoine/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Source officielle ; utile pour projets culturels et événements,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Roubaix,Conservatoire de Roubaix,commune / programmation culture,Musique / danse / scène locale,conservatoire@ville-roubaix.fr,03 20 70 03 00,https://www.ville-roubaix.fr/,https://www.ville-roubaix.fr/services-infos-pratiques/culture-et-patrimoine/conservatoire-de-roubaix/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact musique/danse ; à utiliser en complément du service culture,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Tourcoing,Service culture / ville,commune / programmation culture,Programmation culturelle / événements,contact@tourcoing.fr,à compléter,https://www.tourcoing.fr/,https://www.tourcoing.fr/la-culture-a-tourcoing/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email général officiel ; demander transfert vers programmation culture | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Tourcoing,Conservatoire CRD,commune / programmation culture,Musique / danse / théâtre,crd@ville-tourcoing.fr,03 20 26 60 74,https://www.tourcoing.fr/,https://www.tourcoing.fr/la-culture-a-tourcoing/la-musique-a-tourcoing/le-conservatoire-a-rayonnement-departemental-de-tourcoing/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,Contact culturel musique ; bon relais local,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Le Safran - scène conventionnée,commune / programmation culture,Programmation / scène municipale,billetterie.safran@amiens-metropole.com,03 22 69 66 00,https://www.amiens.fr/,https://www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Le-Safran,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact officiel visible ; demander relais programmation si besoin,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Somme,Amiens,Maison de la Culture d'Amiens,commune / programmation culture,Scène nationale / programmation,accueil@mca-amiens.com,03 22 97 79 79,https://www.maisondelaculture-amiens.com/,https://www.maisondelaculture-amiens.com/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Scène nationale ; bon contact pour live et création,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Nord,Dunkerque,Direction de la Culture,commune / programmation culture,Programmation / culture / événements,contact@ville-dunkerque.fr,03 28 26 25 52,https://www.ville-dunkerque.fr/,https://www.ville-dunkerque.fr/les-journees-europeennes-du-patrimoine,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Email mairie officiel Service-Public ; Direction culture conserve téléphone direct 03 28 26 25 52.,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Pas-de-Calais,Calais,Service culturel / théâtre,commune / programmation culture,Programmation / théâtre / événements,theatre@mairie-calais.fr,03 21 46 66 00,https://www.calais.fr/mes-loisirs/culture,https://www.artcena.fr/annuaire/organismes/service-culturel-de-calais,a qualifier,a qualifier,A,à contacter,Contacter en premier avec positionnement DJ/live afro house - world house.,Contact standard du service culturel recensé ; vérifier avant envoi massif,Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
France,Hauts-de-France,Pas-de-Calais,Calais,Le Channel - scène nationale,commune / programmation culture,Scène nationale / programmation,billetterie@lechannel.org,03 21 46 77 00,https://lechannel.fr/,https://lechannel.fr/,a qualifier,a qualifier,B,à contacter,Contacter selon calendrier et disponibilite.,"Site officiel temporaire ; email billetterie visible, demander relais programmation",Services programmation villes France - Hauts-de-France Normandie - Nyllo Canella.csv
