Ville,Region,Service,Type_contact,Contact_nom,Email,Telephone,Adresse,Site,Source_URL,Priorite,Statut,Notes
Anderlecht,Bruxelles,Service Culture,Programmation / culture locale,Commune d’Anderlecht,cultuur@anderlecht.brussels,02 558 08 92,"Rue Georges Moreau 5, 1070 Anderlecht",https://www.anderlecht.be/,https://www.anderlecht.be/nl/diensten-vrije-tijd,B,à contacter,Contact culture néerlandophone / commune
Mons,Wallonie,Service événements,Événements publics,Julien Taulet,evenements@ville.mons.be,+32 65 40 52 70,"Rue du Chanoine Puissant 2, 7000 Mons",https://www.mons.be/,https://www.mons.be/fr/ma-commune/administration/tous-les-services-communaux/evenements/service-evenements,A,à contacter,Gestion festivités et événements portés par la Ville + support aux tiers
Mons,Wallonie,Mons Culture.be,ASBL culturelle locale,Mons Culture.be,monsculture.be@gmail.com,0468 42 51 35,"Rue Taille Coleau 42, 7034 Obourg",https://www.monsculture.be/,https://www.monsculture.be/,B,à contacter,"ASBL locale : concerts, Fête de la Musique, spectacles"
Namur,Wallonie,Service Culture,Programmation / culture / événements,Ville de Namur,culture@ville.namur.be,+32 81 24 71 18 / +32 81 24 71 60,"Venelle des Capucins 6, 5000 Namur",https://www.namur.be/,https://www.namur.be/fr/loisirs/culture/service-de-la-culture,A,à contacter,"Fête de la Musique, Namusiq’, Ciné-concerts, projets publics"
Namur,Wallonie,Citadelle de Namur - événements culturels,Programmation événementielle,Delphine Soeur,delphine.soeur@citadelle.namur.be,+32 81 24 73 75,"Route Merveilleuse 64, 5000 Namur",https://citadelle.namur.be/,https://citadelle.namur.be/fr/contactez-nous,A,à contacter,Chargée événementielle ; site événementiel fort à Namur
Namur,Wallonie,Citadelle de Namur - événements culturels,Programmation événementielle,Mélanie Celeghin,melanie.celeghin@citadelle.namur.be,+32 81 24 73 74,"Route Merveilleuse 64, 5000 Namur",https://citadelle.namur.be/,https://citadelle.namur.be/fr/contactez-nous,A,à contacter,Chargée événementielle ; deuxième contact
Liège,Wallonie,Fête de la Musique Liège,Programmation musique / ville / collectif,PAC Liège / Collectif liégeois,info@fetedelamusiqueliege.be,04 221 42 10,"Rue du Petit Chêne 95, 4000 Liège",https://www.fetedelamusiqueliege.be/,https://www.fetedelamusiqueliege.be/,A,à contacter,Organisation Ville de Liège + PAC Liège ; nombreux programmateurs publics
Liège,Wallonie,Échevinat Culture Ville de Liège,Culture / Fête de la Musique,Ville de Liège,echevinat.clotuche@liege.be,04 258 61 13,Liège,https://www.liege.be/,https://www.liege.be/fr/vie-communale/vie-politique/college-communal/communiques-du-college-communal/communiques-du-college-communal-2025/communique-du-college-communal-du-06-06-2025,A,à contacter,Contact téléphone culture Ville de Liège mentionné pour Fête de la Musique | Email échevinat repéré sur communication publique Ville de Liège ; téléphone 04 258 61 13 conservé.
Liège,Wallonie,Liège Culture Pro,Agenda / plateforme culturelle,Liège Culture,contact@liegeculture.be,à compléter,Liège,https://pro.liegeculture.be/,https://pro.liegeculture.be/,B,à contacter,Plateforme pour opérateurs culturels et événements liégeois | Contact recoupé depuis autre fichier booking le 13/08/2026.
Charleroi,Wallonie,Ville de Charleroi - culture,Culture / cabinet échevine,Julie Patte,julie.patte@charleroi.be,071 86 10 32 / 071 86 10 41,"Hôtel de Ville, Place Vauban, 6000 Charleroi",https://www.charleroi.be/thematique/culture,https://www.charleroi.be/vie-communale/college-communal,A,à contacter,"1ère échevine : Culture, enseignement et formation"
Charleroi,Wallonie,Ville de Charleroi - conseiller culture,Culture / cabinet,Pascal Verhulst,pascal.verhulst@charleroi.be,à compléter,"Hôtel de Ville, 6000 Charleroi",https://www.charleroi.be/,https://www.charleroi.be/vie-communale/college-communal,A,à contacter,Conseiller culture au cabinet de Julie Patte | Contact recoupé depuis autre fichier booking le 13/08/2026.
Charleroi,Wallonie,Eden / Centre culturel régional de Charleroi,Centre culturel régional,Eden Charleroi,info@eden-charleroi.be,071 20 29 95,"Boulevard Jacques Bertrand 1-3, 6000 Charleroi",https://www.eden-charleroi.be/,https://www.charleroi.be/annuaire/centres-culturels,A,à contacter,Centre culturel régional ; fort potentiel pour date
Charleroi,Wallonie,CEME Charleroi,Équipement / événements,CEME,info@ceme.be,071 23 98 50,"Rue des Français 147, 6020 Dampremy",https://www.ceme.be/,https://www.charleroi.be/annuaire/centres-culturels,B,à contacter,Espace meeting / événements
Genk,Flandre,Stad Genk - Dienst Cultuur,Service culture,KULT Organisatoren,cultuur@genk.be,089 65 38 12 / 089 65 38 13,"Stadsplein 1, 3600 Genk",https://www.genk.be/cultuur,https://www.genk.be/cultuur,A,à contacter,Ville très intéressante : Afro-Latino Festival / réseaux culturels
Genk,Flandre,Stad Genk - échevin culture,Culture / politique culturelle,Harun Solak,harun.solak@genk.be,089 65 36 14,"Stadsplein 1, 3600 Genk",https://www.genk.be/,https://www.genk.be/cbs,B,à contacter,"Échevin culture, vivre ensemble, politique mondiale"
Anvers,Flandre,Stad Antwerpen - Regie Kunst en Cultuur,Politique artistique / scènes,Regie Kunst & Cultuur,kunstenbeleid@antwerpen.be,à compléter,Antwerpen,https://www.antwerpen.be/info/kunstenbeleid,https://www.antwerpen.be/contact/regie-kunst-cultuur,A,à contacter,Questions sur politique artistique et soutien culture | Contact recoupé depuis autre fichier booking le 13/08/2026.
Anvers,Flandre,Stad Antwerpen - Podia & culturele ontmoeting,Coordination scènes / rencontre culturelle,Angela Schellekens,angela.schellekens@antwerpen.be,à compléter,Antwerpen,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,A,à contacter,Netwerkcoördinator podia & culturele ontmoeting | Contact recoupé depuis autre fichier booking le 13/08/2026.
Anvers,Flandre,Stad Antwerpen - Kunstenbeleid,Coordination politique artistique,Karen Vandenberghe,karen.vandenberghe@antwerpen.be,à compléter,Antwerpen,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,B,à contacter,Coördinator kunstenbeleid | Contact recoupé depuis autre fichier booking le 13/08/2026.
Anvers,Flandre,District Borgerhout - équipe culture,Culture locale / Borgerrio,District Borgerhout,cultuurantenne.borgerhout@antwerpen.be,0491 966 772 / 03 338 18 14,"Moorkensplein 1, Borgerhout",https://www.antwerpen.be/,https://www.antwerpen.be/info/63fc7655102c771937526132/contacteer-team-cultuur,A,à contacter,"Très pertinent : district divers, Borgerrio, événements locaux"
Gand,Flandre,Cultuur Gent,Service culture / programmation,Cultuur Gent,cultuur@stad.gent,09 323 61 80,"Veldstraat 82A, 9000 Gent",https://cultuur.stad.gent/nl/contact,https://cultuur.stad.gent/nl/contact,A,à contacter,Service culture officiel de la Ville de Gand
Gand,Flandre,Artiest zkt...,Dispositif artistes / organisateurs,Cultuur Gent,artiestzkt@stad.gent,09 323 61 80,"Veldstraat 82A, 9000 Gent",https://stad.gent/nl/cultuur-vrije-tijd/zelf-een-evenement-organiseren/artiest-zkt-boek-een-artiestact,https://stad.gent/nl/cultuur-vrije-tijd/zelf-een-evenement-organiseren/artiest-zkt-boek-een-artiestact,A,à contacter,Dispositif artistes et organisateurs locaux
Louvain,Flandre,Stad Leuven - Dienst cultuur,Service culture / programmation,Stad Leuven,directie.cultuur@leuven.be,016 27 22 87,Leuven,https://www.leuven.be/contact/dienst-cultuur,https://www.leuven.be/contact/dienst-cultuur,A,à contacter,Service culture officiel
Bruges,Flandre,Projectsubsidie culturele activiteit,Projets culturels / événements,Cultuurcoach Brugge,cultuurcoach@brugge.be,050 44 8000,8000 Brugge,https://www.brugge.be/vrije-tijd/organiseren-van-evenementen/evenementsubsidies/projectsubsidie-culturele-activiteit,https://www.brugge.be/vrije-tijd/organiseren-van-evenementen/evenementsubsidies/projectsubsidie-culturele-activiteit,A,à contacter,Contact direct pour projets culturels
Bruges,Flandre,Cultuurcentrum Brugge,Programmation culturelle / salle,Cultuurcentrum Brugge,cultuurcentrum@brugge.be,050 44 30 40,"Sint-Jakobsstraat 20, 8000 Brugge",http://www.cultuurcentrumbrugge.be/,https://www.brugge.be/activiteiten/openingsavond-tentoonstelling-inventing-obsessions,A,à contacter,Centre culturel municipal
Ostende,Flandre,Stad Oostende - dienst Cultuur,Service culture / salles,Service Culture,cultuur@oostende.be,059 25 88 20,"Stadhuis Oostende, Vindictivelaan 1, 8400 Oostende",https://www.oostende.be/cultuur,https://www.oostende.be/forumzaal-bib,A,à contacter,Service Culture officiel
Ostende,Flandre,Cultuurcentrum De Grote Post,Centre culturel / programmation,De Grote Post,benieuwd@degrotepost.be,059 56 85 00,"Hendrik Serruyslaan 18A, 8400 Oostende",https://www.degrotepost.be/,https://www.oostende.be/cultuurcentrum-de-grote-post,A,à contacter,Grand centre culturel d’Ostende
Tournai,Wallonie,Ville de Tournai - Service culture et musées,Culture / événements majeurs,Service culture et musées,culture@tournai.be,+32 69 59 08 20,"Place Paul-Émile Janson 1, 7500 Tournai",https://www.tournai.be/services-communaux/culture-et-musees,https://www.tournai.be/services-communaux/culture-et-musees,A,à contacter,Événements culturels majeurs
Wavre,Wallonie,Ville de Wavre - Culture et Événements,Service culture / événements,Service Culture et Événements,culture-evenements@wavre.be,010 232 627,"Place des Carmes 3, 1300 Wavre",https://www.wavre.be/culture-et-evenements,https://www.wavre.be/culture-et-evenements,A,à contacter,Service dédié culture et événements
Wavre,Wallonie,Ville de Wavre - cadastre culturel,Réseau acteurs culturels,Service Culture,culture@wavre.be,010 23 03 11,"Place de l’Hôtel de Ville 3, 1300 Wavre",https://www.wavre.be/cadastre-culturel,https://www.wavre.be/cadastre-culturel,B,à contacter,Référencement artistes et structures culturelles
La Louvière,Wallonie,Ville de La Louvière - Animation de la Cité,Événements publics / grands événements,Ville de La Louvière,accueil@lalouviere.be,+32 64 27 78 11,"Place Communale 1, 7100 La Louvière",https://www.lalouviere.be/ma-ville/service-communaux/animation-de-la-cite-et-protocole,https://www.lalouviere.be/ma-ville/service-communaux/animation-de-la-cite-et-protocole,A,à contacter,"Email direct non trouvé dans la source consultée | Email général communal UVCW ; service Animation de la Cité joignable au +32 64 27 78 11, utiliser pour transfert programmation/événement."
