Nom_groupe,Lien_Facebook,Pays,Ville_ou_region,Categorie,Membres_visibles,Publication_autorisee,Validation_admin,Contact_admin,Regles_resumees,Priorite,Texte_a_utiliser,Date_publication,Statut,Reponse,Notes
Techno Belgium,https://www.facebook.com/search/groups/?q=techno%20Belgium,Belgique,Belgique,techno,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier si live percussif accepté",C,électro-house,,à vérifier,,"À utiliser avec prudence"
House Music Belgium,https://www.facebook.com/search/groups/?q=house%20music%20Belgium,Belgique,Belgique,house,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes house / events",B,électro-house,,à vérifier,,"Angle organic house / afro-house"
Concerts Lille,https://www.facebook.com/search/groups/?q=concerts%20Lille,France,Lille / Hauts-de-France,concerts Hauts-de-France,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts Lille",A,publication générale,,à vérifier,,"Priorité région proche Belgique"
Musiciens Lille,https://www.facebook.com/search/groups/?q=musiciens%20Lille,France,Lille / Hauts-de-France,musiciens locaux,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes musiciens Lille",B,musiciens,,à vérifier,,"Pour premières parties et plateaux"
Sorties concerts Hauts-de-France,https://www.facebook.com/search/groups/?q=sorties%20concerts%20Hauts-de-France,France,Hauts-de-France,sorties concerts,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes sorties culturelles HDF",A,publication générale,,à vérifier,,"Public local + lieux"
Concerts Paris,https://www.facebook.com/search/groups/?q=concerts%20Paris,France,Paris / Île-de-France,concerts Île-de-France,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts Paris",A,publication générale,,à vérifier,,"Très forte zone de prospection"
Bons plans concerts Paris,https://www.facebook.com/search/groups/?q=bons%20plans%20concerts%20Paris,France,Paris / Île-de-France,sorties concerts,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes bons plans concerts",A,publication générale,,à vérifier,,"Cible public et petites dates"
Musiciens Paris,https://www.facebook.com/search/groups/?q=musiciens%20Paris,France,Paris / Île-de-France,musiciens locaux,à vérifier,à vérifier,à vérifier,à vérifier,"Vérifier autopromotion",B,musiciens,,à vérifier,,"Collabs / scènes partagées"
Brésiliens à Paris,https://www.facebook.com/search/groups/?q=br%C3%A9siliens%20%C3%A0%20Paris,France,Paris / Île-de-France,Brésil,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes communauté brésilienne",A,brésil,,à vérifier,,"Très adapté pour A SELVA"
Samba Paris,https://www.facebook.com/search/groups/?q=samba%20Paris,France,Paris / Île-de-France,samba / Brésil,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes samba, batucada, forró",A,brésil,,à vérifier,,"Très compatible"
Forró Paris,https://www.facebook.com/search/groups/?q=forr%C3%B3%20Paris,France,Paris / Île-de-France,Brésil / danse,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes forró / danse brésilienne",B,brésil,,à vérifier,,"Public danse brésilienne"
Afro House Paris,https://www.facebook.com/search/groups/?q=afro%20house%20Paris,France,Paris / Île-de-France,afro-house / électro,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes afro house Paris",B,électro-house,,à vérifier,,"Angle club / organic house"
Global Bass Paris,https://www.facebook.com/search/groups/?q=global%20bass%20Paris,France,Paris / Île-de-France,global bass,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes global bass / tropical bass",B,électro-house,,à vérifier,,"Très cohérent avec Samba Tech"
Concerts Strasbourg,https://www.facebook.com/search/groups/?q=concerts%20Strasbourg,France,Strasbourg / Grand Est,concerts Grand Est,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts Strasbourg",B,publication générale,,à vérifier,,"Grand Est prioritaire"
Latino Strasbourg,https://www.facebook.com/search/groups/?q=latino%20Strasbourg,France,Strasbourg / Grand Est,latino,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes salsa, bachata, latino",A,latino,,à vérifier,,"Très compatible avec Bateau du Rhin / Café Libro"
Concerts Rouen,https://www.facebook.com/search/groups/?q=concerts%20Rouen,France,Rouen / Normandie,concerts Normandie,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts Rouen",B,publication générale,,à vérifier,,"Pour bars et Terrasses du Jeudi"
Concerts Caen,https://www.facebook.com/search/groups/?q=concerts%20Caen,France,Caen / Normandie,concerts Normandie,à vérifier,à vérifier,à vérifier,à vérifier,"Chercher groupes concerts Caen",B,publication générale,,à vérifier,,"Pour Café Le Régent / Le Cargö"
