Pays,Periode_ou_date,Evenement_ou_lieu,Type,Lieu,Adresse,Ville,Organisateur,Contact_public,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
Belgique,2024-2026,Storia Club Event,Club / after party afro house,Storia Club Event,à compléter,à compléter,Storia Club Event,storiaclubevent@gmail.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; à classer afro house Belgique
Belgique,2024-2026,La Cuve Namur,Bar / after party afro house,La Cuve Namur,à compléter,Namur,La Cuve Namur,lacuvenamur@gmail.com,à compléter,à compléter,Forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; à classer afro house
Belgique,2024-2026,The Day Club Belgium,After party / club afro house,The Day Club Belgium,à compléter,Bruxelles,The Day Club Belgium,thedayclub.belgium@gmail.com,à compléter,à compléter,Très forte,A,à contacter,Contact fourni manuellement le 13/08/2026 ; after party Bruxelles ; à classer afro house
Belgique,2024-2026,Sounds Jazz Club / Sounds Resist,Club jazz / world / diaspora,Sounds Jazz Club,Rue de la Tulipe 28,Ixelles / Bruxelles,Sounds Resist / Collectif Buen Vivir,booking via formulaire / sounds-resist@collectifs.net,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-club/,Très forte,A,à contacter,Programmation jazz + world music + cultures diasporiques ; lieu 100 personnes possible
Belgique,2024-2026,Sounds Jazz Club booking,Booking concert,Sounds Jazz Club,Rue de la Tulipe 28,Ixelles / Bruxelles,Sounds Jazz Club,formulaire booking,https://www.sounds.brussels/,https://www.sounds.brussels/nl/booking/,Très forte,A,à contacter,Formulaire artiste pour demande de concert
Belgique,03 septembre 2026,TONADA,Live music / Sounds Resist,Sounds Jazz Club,Rue de la Tulipe 28,Ixelles / Bruxelles,Sounds Jazz Club,formulaire booking,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-live-concert/,Très forte,A,à contacter,"Programmation 2026 avec percussions, FX, voix, world / diaspora"
Belgique,2024-2026,Le Baixu,Lieu culturel / petite salle world jazz,Le Baixu,Tour & Taxis,Bruxelles,Le Baixu asbl,+32 475 36 18 36,https://www.lebaixu.com/fr,https://www.lebaixu.com/fr/le-lieu,Très forte,A,à contacter,"Salle 80 assis / 120 debout ; découverte d’artistes, jazz, classique et musique du monde"
Belgique,2026-2027,Cycle Musique du Monde - Le Baixu,Programmation world music,Le Baixu,Tour & Taxis,Bruxelles,Le Baixu asbl,+32 475 36 18 36,https://www.lebaixu.com/fr,https://www.lebaixu.com/nl/la-programmation,Très forte,A,à contacter,Le Baixu annonce un cycle Musique du Monde avec Brésil et musiques latines
Belgique,2024-2026,BRASS - Centre culturel de Forest,Centre culturel / programmation musicale,BRASS,Avenue Van Volxem 364,Forest / Bruxelles,BRASS,quentin.velghe@lebrass.be,https://www.lebrass.be/,https://www.lebrass.be/apropos/equipe/,Forte,A,à contacter,Contact programmation musicale identifié : Quentin Velghe
Belgique,2024-2026,Brasserie iLLeGaaL,Brasserie culturelle / événements,Brasserie iLLeGaaL,à vérifier,Bruxelles,Brasserie iLLeGaaL,art@brasserie-illegaal.com,https://brasserie-illegaal.com/,https://www.visit.brussels/en/visitors/venue-details.Brasserie-iLLeGaaL.279476,Bonne,B,à contacter,Email culture/art confirmé par Visit Brussels ; lieu festif avec concerts et événements.
Belgique,2024-2026,Chaff,Bar / concerts / fêtes,Chaff,Place du Jeu de Balle,Bruxelles,Chaff,bookingchaff@gmail.com,https://www.facebook.com/bistrolechaff/,https://www.visit.brussels/en/visitors/venue-details.Chaff.244836,Bonne,B,à contacter,Email booking et téléphone +32 2 502 58 48 confirmés par Visit Brussels/Facebook ; concerts le lundi.
Belgique,2024-2026,KFK Hope,Lieu socioculturel / salle,KFK Hope,à vérifier,Bruxelles,KFK Hope,christiane@kfkhope.com,https://kfkhope.com/,https://kfkhope.com/,Bonne,B,à contacter,Email privatisation confirmé sur site ; info@kfkhope.com et +32 460 95 41 50 aussi disponibles.
Belgique,2024-2026,Café Roskam,Café jazz / concerts,Café Roskam,à vérifier,Bruxelles,Café Roskam,à vérifier,à vérifier,https://www.visit.brussels/nl/bezoekers/agenda/theater-muziek-cabaret--knusse-locaties-om-het-warm-te-houden,Moyenne,B,à vérifier,Jazzconcerts généralement le dimanche soir
Belgique,2024-2026,Café Central,Bar / concerts / scène bruxelloise,Café Central,à vérifier,Bruxelles,Café Central,wearecafecentral@gmail.com,https://www.facebook.com/cafecentral.bxl/,https://www.facebook.com/cafecentral.bxl/,Bonne,B,à contacter,"Email public Facebook ; lieu concerts/DJ sets, vérifier reprise/activité actuelle avant envoi."
Belgique,2024-2026,Crix Café,Bar / jam / scène locale,Crix Café,à vérifier,Bruxelles,Crix Café,programmation@crixcafe.be,https://www.crixcafe.be/contact,https://www.crixcafe.be/contact,Bonne,B,à contacter,Email artistes confirmé ; email info info@crixcafe.be et téléphone +32 478 98 06 70.
Belgique,2024-2026,Piano Fabriek,Centre culturel / musiques du monde,Pianofabriek,à vérifier,Saint-Gilles / Bruxelles,Pianofabriek,info@pianofabriek.be,https://www.pianofabriek.be/en/contact,https://www.pianofabriek.be/en/contact,Forte,A,à contacter,Email et téléphone +32 2 541 01 70 confirmés.
Belgique,2024-2026,Horloge du Sud,Restaurant / bar culturel africain,Horloge du Sud,à vérifier,Bruxelles,Horloge du Sud,info@horlogedusud.be,https://horlogedusud.be/contact-2/,https://horlogedusud.be/contact-2/,Forte,A,à contacter,Email et téléphone +32 2 512 18 64 confirmés ; brasserie culturelle africaine.
Belgique,Novembre 2025,Bruxelles sur scènes,Festival café-théâtres / petites salles,Plusieurs café-théâtres,Bruxelles,Bruxelles sur scènes,à vérifier,n.wibail@visit.brussels / +32 490 49 43 84,https://www.bruxellessurscenes.be/,https://www.visit.brussels/content/dam/visitbrussels/pdf-brochures/presse/cp/bxl-sur-scenes-2024/2024-09-20-PR-Bruxelles-sur-scenes.pdf,B,à vérifier,à contacter,"Contact presse Visit Brussels trouvé dans communiqué ; pour programmation, utiliser aussi les lieux participants."
Belgique,2024-2026,Stoemp!,Festival café-concerts bruxellois,Bars et cafés,Bruxelles,Stoemp! / organisateurs bruxellois,à vérifier,à vérifier,https://www.visit.brussels/nl/bezoekers/wat-te-doen/het-brusselse-concertleven/hedendaagse-en-opkomende-muziek,Forte,A,à vérifier,Festival semestriel des café-concerts bruxellois selon Visit Brussels,
Belgique,27 avril 2024,Togo à Bruxelles,Festival culturel africain,Salle 1180,4 rue Robert Scott,Bruxelles / Uccle,Diasmecom / Commune Uccle,à vérifier,https://diasmecom.com/,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,Forte,B,à vérifier,Événement public culture togolaise à Bruxelles
Belgique,18 mai 2024,African Culture Festival,Festival culturel africain,Centre Culturel Jacques Franck,Chaussée de Waterloo 94,Bruxelles,Soldiers Hems,à vérifier,https://diasmecom.com/,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,Forte,B,à vérifier,8e édition African Culture Festival
Belgique,2024,Afro Jam,Café concert / jam,Café Béguin,Place du Samedi 12A,Bruxelles,Diasmecom / Afro Jam,à vérifier,https://diasmecom.com/,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,Très forte,A,à vérifier,Édition spéciale Afro Jam coordonnée par Diese Mbangue
Belgique,2024-2026,Toots Jazz Club,Club jazz / live,Toots Jazz Club,Grand-Place,Bruxelles,Toots Live / ULB / Centre d’Action Laïque / Ville de Bruxelles,à vérifier,à vérifier,https://www.visit.brussels/en/visitors/agenda/theatre-music-cabaret--heart-warming-venues-in-brussels,Bonne,B,à vérifier,"Nouveau club jazz installé en 2025, concerts et jam sessions cinq soirs par semaine"
Belgique,2024-2026,Art Base,Lieu concert / jazz / world / classique,Art Base,à vérifier,Bruxelles,Art Base,contact via site / +32 2 217 29 20,https://www.art-base.be/,https://www.bandsintown.com/v/10017581-art-base,Bonne,B,à contacter,"Téléphone confirmé +32 2 217 29 20 ; pas d’email direct fiable trouvé, contacter via site ou téléphone."
Belgique,2024-2026,Atelier Marcel Hastir,Lieu culturel / musique traditionnelle,Atelier Marcel Hastir,à vérifier,Bruxelles,Atelier Marcel Hastir,admin@ateliermarcelhastir.eu,https://ateliermarcelhastir.eu/contact/,https://ateliermarcelhastir.eu/contact/,Bonne,B,à contacter,Email administratif confirmé ; email réservation/concerts ateliermarcelhastir@gmail.com aussi listé par Visit Brussels/Facebook.
Belgique,2024-2026,Motown Concerts,Programmation concerts,Motown Concerts,à vérifier,Bruxelles,Motown Concerts,à vérifier,à vérifier,https://www.visit.brussels/en/visitors/what-to-do/brussels-concert-life/classical-modern-en-jazz-music,Moyenne,B,à vérifier,À vérifier pour format A SELVA
Belgique,2024-2026,Centre Culturel d'Herlaimont Chapelle,Centre culturel / spectacle public,Centre Culturel d'Herlaimont Chapelle,à compléter,Chapelle-lez-Herlaimont,Centre Culturel d'Herlaimont Chapelle,secretariat.cch@7160.be,https://www.centreculturelchapelle.com/,https://linktr.ee/centrecultureldechapelle,"Bonne : centre culturel local, spectacle public, concerts possibles",A,à contacter,Téléphone : 064 43 13 35 ; contact trouvé via Facebook / site officiel
Belgique,2024-2026,Events Pepinster,Événements publics / organisation locale,Events Pepinster,"Rue la Nô 51, 4860 Pepinster",Pepinster,Events Pepinster / EPN Pepinster,chris.epn@pepinster.be,http://www.eventspepinster.be/,http://www.eventspepinster.be/,"Bonne : organisateur local d’événements publics, dates possibles en Wallonie",B,à contacter,"Téléphone : 0496 90 29 72 ; adresse : Rue la Nô 51, 4860 Pepinster"
Belgique,2024-2026,House of Lagos,Événements afro-house / afrobeat / club,House of Lagos,à compléter,Anvers,House of Lagos,houseoflagosofficial@gmail.com,à compléter,à compléter,"Très forte : événements afro-house à Anvers, compatible live percussions + machines",A,à contacter,Email fourni ; site et liens sociaux à compléter
