Pays,Region,Ville,Nom,Categorie,Contact_public,Telephone,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes,Styles_Nyllo,Segment_booking,Niveau_ciblage,Raison_ciblage,Action_recommandee
Pays-Bas,Noord-Holland,Amsterdam,RADION Amsterdam,Club / cultural venue / house-techno,bookings@radionamsterdam.nl,a completer,https://radion.amsterdam/collaborations,https://radion.amsterdam/collaborations,Tres forte,A,a contacter,Contact booking public pour idee de club event; aussi rent@radionamsterdam.nl pour location.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Escape Amsterdam,Discotheque / club / VIP / house nights,events@escape.nl / contact@escape.nl,+31 30 231 1577,https://escape.nl/en/info/events/,https://escape.nl/en/info/events/,Tres forte,A,a contacter,Grande discotheque ouverte tard; contact events public et WhatsApp VIP +31 6 39228876.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Melkweg Amsterdam,Concert venue / club nights,info@melkweg.nl,+31 20 531 8181,https://www.melkweg.nl/en/info/,https://www.melkweg.nl/en/info/,Forte,A,a contacter,Club nights jusqu'a 04h/05h; lieu reconnu pour concerts et nuits club.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Paradiso / Club Paradiso,Concert venue / club nights house afro latin,info@paradiso.nl,+31 20 626 4521,https://www.paradiso.nl/en/subbrand/club-paradiso/97,https://www.paradiso.nl/en/contact,Tres forte,A,a contacter,"Club Paradiso couvre house, techno, Latin, Afro, reggae, R&B; bon profil A SELVA.",bresil | world-music | house-music,world percussions / bresil,A+ tres prioritaire,bresil/latin/tropical; world/global/afro-caribbean; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.
Pays-Bas,Noord-Holland,Amsterdam,Bitterzoet Amsterdam,Club / live venue / black music,info@paradiso.nl,+31 20 626 4521,https://www.bitterzoet.com/,https://www.paradiso.nl/en/info/hoe-kom-ik-bij-de-verschillende-locaties-van-paradiso/praktische-info-voor-jouw-bezoek-aan-bitterzoet,Forte,A,a contacter,Club et podium; rattachable au contact Paradiso public; bon pour black music/live culture.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,BRET Amsterdam,Bar / restaurant / electronic club,info@bret.bar,+31 85 060 0060,https://www.bret.bar/,https://www.facebook.com/bret.amsterdam/,Forte,A,a contacter,Bar-club electronique week-end; house/tech-house/techno; bon pour after-party.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Club John Doe,Techno club / nightclub,support@clubjohndoe.nl,a completer,https://www.clubjohndoe.nl/contact,https://www.clubjohndoe.nl/contact,Forte,B,a contacter,"Club techno a Rembrandtplein; contact support public, booking artistique a verifier.",house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Jimmy Woo Amsterdam,Luxury nightclub / VIP / private rental,info@jimmywoo.com,+31 20 626 3150,https://www.jimmywoo.com/,https://www.jimmywoo.com/,Forte,A,a contacter,Nightclub premium avec VIP tables et rental; bon angle evenement prive/chic.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,CONTACT Amsterdam,Makerspace / club events / house disco,info@contactamsterdam.nl,a completer,https://www.instagram.com/contactamsterdam/,https://www.instagram.com/contactamsterdam/,Forte,B,verifie email,RA mentionne house/disco/cosmic sounds; email public Instagram; site officiel a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Bar Twenty Two,Bar / DJ / ADE house showcase,formulaire officiel Bar Twenty Two / Instagram @bar22amsterdam,a completer,https://www.bartwentytwo.nl/contact/,https://www.bartwentytwo.nl/contact/,Forte,B,contact public verifie,ADE 2026: Born House Records showcase; bar avec DJs/performance week-end. | Enrichi 13/08/2026 depuis passe Pays-Bas. | Passe 2 Pays-Bas 13/08/2026. | Passe meticuleuse Pays-Bas 13/08/2026.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,Bar-Restaurant Van de Werf,Bar / restaurant / ADE deep house,info@vandewerf.amsterdam,020 737 0051,https://vandewerf.amsterdam/contact/,https://vandewerf.amsterdam/contact/,Forte,B,verifie email,ADE 2026 deep house/house/tech-house; lieu bar-restaurant a Amsterdam-Noord. | Enrichi 13/08/2026 depuis passe Pays-Bas. | Passe 2 Pays-Bas 13/08/2026.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Holland,Amsterdam,WestWeelde,Large nightclub / house techno warehouse,info@westweelde.nl,+31 20 684 8496,https://www.westweelde.nl/contact,https://www.westweelde.nl/contact,Forte,B,verifie email,Ancien Westerunie; grandes soirees house/techno/hip-hop/eclectic; contact direct a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas. | Passe 2 Pays-Bas 13/08/2026.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Zuid-Holland,Rotterdam,Maassilo Rotterdam,Dance venue / club / house techno,info@maassilo.com,+31 10 476 2452,https://maassilo.com/dance/,https://maassilo.com/dance/,Tres forte,A,a contacter,"Grand lieu dance/club; techno, house, hip-hop; licence nuit et formats events.",house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Zuid-Holland,Rotterdam,Annabel Rotterdam,Poppodium / club nights / electronic,verhuur@annabel.nu / info@annabel.nu,+31 6 18211259,https://www.rotterdam.info/en/conventions/finder-venues/annabel,https://www.rotterdam.info/en/conventions/finder-venues/annabel,Forte,B,verifie email,Grand poppodium de Rotterdam; club nights vendredi/samedi jusqu'a 04h; contact direct a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas. | Passe meticuleuse Pays-Bas 13/08/2026.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Zuid-Holland,Den Haag,CLUB PAARD / PAARD,Club nights / dance / afro / hip-hop,info@paard.nl,+31 70 750 3434,https://www.paard.nl/en/club-paard-2/,https://www.paard.nl/en/about-paard/,Tres forte,A,a contacter,"Club PAARD vise la nuit; programmes Mama Africa, dancehall, afro, hip-hop, club invites.",world-music | afro-house | house-music,after-party afro house / club house,A+ tres prioritaire,world/global/afro-caribbean; afro house/amapiano/afro; house/electro/club,Contacter en premier avec angle A SELVA afro house + world/percussions.
Pays-Bas,Zuid-Holland,Den Haag,PIP Den Haag,Underground nightclub / art / culture,alles@pipdenhaag.nl,a completer,https://pipdenhaag.nl/,https://pipdenhaag.nl/,Forte,B,verifie email,Scene underground de La Haye; club nights; mail direct non trouve. | Enrichi 13/08/2026 depuis passe Pays-Bas.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Utrecht,Utrecht,TivoliVredenburg,Music complex / club nights / electronic,info@tivolivredenburg.nl,+31 30 231 4544,https://www.tivolivredenburg.nl/english/,https://www.discover-utrecht.com/location/tivolivredenburg/,Forte,A,a contacter,"Grand complexe musical; plusieurs salles, club nights et electronic events.",house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Utrecht,Utrecht,De Helling,Music venue / nightclub / bass-electronic,info@dehelling.nl,+31 30 221 9944,https://dehelling.nl/,https://dehelling.nl/,Forte,A,a contacter,"Venue/club Utrecht; focus bass, hip-hop et musiques transversales; compatible after-party.",house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Utrecht,Utrecht,EKKO Utrecht,Intimate club / live venue / electronic,info@ekko.nl,+31 30 231 7457,https://ekko.nl/,https://ekko.nl/over-ekko/,Forte,A,a contacter,Club EKKO et programmation DJs/electronic; format intime utile pour showcase.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Brabant,Eindhoven,Effenaar Eindhoven,Concert venue / club nights / electronic,events@effenaar.nl / info@effenaar.nl,+31 40 311 8312,https://www.effenaar.nl/zakelijk,https://www.effenaar.nl/zakelijk,Forte,A,a contacter,Club nights/electronic surprises; contact events & zakelijke verhuur public.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Noord-Brabant,Tilburg,013 Poppodium Tilburg,Concert venue / club nights / electronic,info@013.nl,+31 13 460 9500,https://www.013.nl/en/contact-en,https://www.013.nl/en/contact-en,Forte,A,a contacter,"Grand poppodium avec night program, club nights et surprises electroniques.",house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Groningen,Groningen,Simplon Groningen,Pop venue / club / electronic events,programma@simplon.nl / productie@simplon.nl,+31 50 318 4150,https://simplon.nl/contact/,https://simplon.nl/contact/,Forte,B,verifie email,Poppodium avec programme varie et club events; mail direct a completer. | Enrichi 13/08/2026 depuis passe Pays-Bas.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
Pays-Bas,Gelderland,Nijmegen,Doornroosje Nijmegen,Concert venue / club nights / dance,info@doornroosje.nl,+31 24 355 4243,https://www.doornroosje.nl/en/contact/,https://www.doornroosje.nl/en/contact/,Forte,A,a contacter,Venue reconnu avec club nights/dance; bon relais hors Amsterdam/Rotterdam.,house-music,house music / club electronique,B compatible,house/electro/club,Contacter si capacite/date pertinente; personnaliser le message.
